_171500193,240
_181500258,240
_181500818,235.02
_191599007,232.16
srishti_mishra21,230
_181500542,210
shikhar_khare_c2,210
_181500419,210
_181500601,200
_181500251,190
_181500353,180
_181500048,180
__191599019,180
_171500258,180
_181500663,160
_161500445,150
gcfl181500788,150
ranjan_kumar_cs1,132.16
_181500318,120
kishan_bind_cs18,120
_181599003,108
siddharth_rai_h2,88.5
_181500138,80
_171500383,80
_181500285,60
_181500796,60
paras_varshney_1,30
prashant_dubey_2,30
_171500168,30
_181500667,0
I_181500430,0
vipin_sharma_cs1,0
_181500649,596
_181500756,592
_181500332,580
_181500578,580
_181500723,559.11
_181500688,555.45
_181500319,550
_181500710,550
_181500046,550
_181500037,540
_181500652,540
_181500335,532
_181500112,530
_181500068,530
_181500780,530
_181500152,526.25
_181500231,520
_181500045,510
_181500127,509.1
_181500454,502.5
_181500445,500
_181500008,500
_181500338,490.27
_181500181,490
_181500252,490
_181500427,482
_181500254,466.25
_181500536,451
_181500481,443
_181500568,440
_181500308,440
_181500246,430
_181500572,430
_181500213,430
_181500106,410
_181500009,400
_181500551,400
_181500129,396.25
_181500447,390
_181500316,390
_181500286,375.45
_181500777,372.86
_181500240,360
_181500244,355.71
_181500156,352.73
_181500558,330
_181500042,310
_181500628,310
_181500503,302.73
manoj_chaudhary4,300
_181500351,290
181500087__,250
_181500476,250
_181500012,245.71
himalaya_singh_1,240
_181500255,232.86
_181500199,230
_181500348,210
_181500750,210
_181500505,180
_181500460,170
_181500739,117.14
vansh_rishi_cs18,60
harsh9876,60
_181500541,60
shalini_kumari_2,41.25
A_171500043,40
hardik_gupta_cs1,30
_181500000,20
singhishika575,20
_171500043,20
Devashish_cs18,0
abhip1,0
_181500577,536.25
_181500730,520
_181500085,510
_181500120,510
_181500570,508.89
_181500612,498.18
_181500107,490
_181500153,480
_181500123,480
_181500420,465.43
_181500393,464.43
_181500248,463.18
_181500657,446.25
_181500683,436.25
_181500093,429.18
_181500287,428.18
_181500811,422
_181500030,418.18
_181500437,398.18
_181500260,388.18
_181500770,365
_181500383,350
_181500516,338.18
_181500791,338.18
_181500833,330
_181500263,323.18
ritik_kumar_cs18,322.73
_181500314,320
_181500648,310
_181500274,303.46
_198420005,290
_181500623,286.25
_191599016,285
_181500479,280
_181500014,278.18
_191599011,260
_181500499,259.18
_198420001,250
_181500359,229.09
_181500398,227.25
_181500026,218.18
_181500646,210
_181500804,210
_181500815,201
_181500099,190
_181500436,170
_181500477,168.18
_181500227,158.18
nakshatra893,150
pushpak_sharma_1,150
_181500416,150
_181500592,150
_181500748,150
_181500296,150
_191599003,150
_181500473,140
_181500786,130
_181500810,130
_191599015,120
_181500718,120
sinha_anki28,118.82
_198420003,90
MCA_198420006,90
_181500094,80
_181500082,80
_181500494,70
tiwariabhishek02,60
_181500409,60
_181500670,60
_181500141,60
nishantsingh5001,60
sanjesh_kumar_c1,60
_181500361,50
_181500826,40
_198420006,40
iamanirudh_ak,30
_181500455,30
nishant_singh_m2,0
_181500676,600
_181500814,600
_181500034,600
_181500015,596.25
_181500207,596.25
_181500140,596.25
_181500256,596.25
_181500735,596.25
_181500546,580
_181500215,576.25
_181500293,568.98
_181500080,566.25
_181500288,566.25
_181500355,546.25
_181500052,540
_181500149,538
_181500069,532
_181500443,526.25
_181500249,512.73
_181500031,506.25
_181500158,506.25
_181500782,476.25
_181500487,476.25
_181500196,470
_181500280,460
_181500061,422.5
_181500214,420
_181500098,420
_181500469,416.25
_181500691,416.25
_181500538,380
_181500706,360
_181500071,356.25
_181500371,350
_181500751,346.25
_181500605,330
_181500235,330
_181500216,296.25
_181500368,286.25
pranav_singh_cs1,150
_181500324,140
_181500321,120
_181500599,80
_181500332,60
aman_181500071,60
nitcet,40
_181500772,40
_181500038,40
_K_veVER_,8.57
_181530010,310.91
_181530005,300
_181530044,300
_181530043,300
_181530059,300
_181530007,285
_181530055,270
_181530058,270
_181530012,270
_181530020,270
aadarsh_awasthi1,270
_181530041,270
_181530056,252.89
_181530037,240
_181530034,240
_181530002,240
_181530014,240
_181530051,240
_181530038,234.2
_181530061,231.89
_181530023,231
_181530027,210
_181530029,210
vanshika_agarwa1,210
_181530017,210
_181530045,210
_181530039,205.72
_181530004,201
_181530060,192.86
_181530047,180
_181530015,180
rishabh_singhal4,180
_181530042,180
_181530036,150
_181530033,150
_181530031,150
Shivam_181530040,150
mad_singh,143.51
_181530003,136.22
_181530006,120
Mayank1921,120
_181530009,120
mr_toxicado,120
_181530050,90
_181530008,90
aavipul11,90
_181530019,60
_181530062,60
_181530049,60
puru_burjwal04,60
_181530035,30
_181530026,30
UTKARSH_SHARMA12,30
_181530018_,30
_181530013,0
_181530032,0
_181530024,0
_181520016,420
_181510031,420
_181510035,420
_181520033,420
_181510004,416.25
_181520032,407.25
_181510032,407.25
_181510008,390
_181510026,390
_181510013,390
_181520014,390
_181510001,390
_181510020,390
_181510028,388.38
_181510019,381
_181510036,370
_181520009,370
_181520020,360
_181510021,360
_181520035,360
_181520013,360
_181520001,360
_181520003,356.25
_181510015,350
_181520019,350
_181520006,340
_181520021,331
_181520037,320
_181520022,310
_181520034,310
_181510017,303.75
_181520010,300
_181520023,291
_181510033,270
_181520029,254.39
_181510012,246.71
_181520030,240
_181520025,230
_181510029,225.73
_181510007,206.25
_181510024,200
_181520028,195.27
_181510006,180
_181510011,176.25
_181510009,160
_181510034,150
_181510014,130
_181510023,120
_181510010,120
_181510003,120
_181510030,120
_171510033,120
_181510016,103
_181520004,90
arpitagarwal322,86.25
_181520036,80
vishal_gla_ccv18,60
_181510002,60
_181520008,60
_181510025,60
[deleted],60
_181520015,60
_181520038,60
_181520018,50
devanshu_sharma,30
divyanshmishra29,30
_181520005,20
_181520002,20
[deleted],20
_181520012,0
_181520027,0
_181520031,0
Vibhupandey,0
_181300034,600
_181300025,600
_181300066,600
_181300026,600
_181300061,600
_181300036,600
_181300080,600
_181300028,600
_181300086,600
_181300091,600
_181300060,600
_181300107,600
_181300050,600
_181300057,600
_181300023,600
_181300043,600
_181300081,600
_181300098,595.71
_181300106,580
_181300017,574.29
_181300083,570
_181300031,570
_181300016,570
_181300082,570
_181300042,570
181300078_sakshi,550
_181300058,550
_181200055,550
_181300022,540
_181300068,540
_181300041,540
_181300044,540
_181100021,540
_181300087,530
_181300096,530
_181300074,510
_181300047,510
_181300076,510
_181300040,490
_181300092,480
_181300008,480
_181300053,420
_181300033,390
_181300105,300
_181300063,270
_181300012,270
arun_kumar_ec18,240
063_priyanshi,150
_181300085,122.73
[deleted],120
sajal_181300074,100
__18130043,60
_181300104,60
raghav_achal8126,60
_181300108,60
akshat_pandey_e1,60
_181500033,20
_181300059,400
HARSH_181300035,400
_181300029,370
_171300060,340
_181300010,340
_181300046,330
Rahul_Dixit,330
preshak_62,320
_181300073,320
_181300020,301.25
_171300063,300
_171300013,293.75
_181300001,290
_181300093,283.75
_181300030,280
_181300069,270
_181300070,240
yash_jain_ec18,240
_181300049,233.75
_181300103,220
_191399002,210
shubham_singh1_1,210
nandini_gautam_1,188
_181300102,180
saksham_dubey_e1,170
_181300005,160
prateek_goel_ec1,150
gaurav_singh2_c1,140
_181300048,130
lovebansal2018,120
__181300072,120
_181300054,120
_181300101,100
_181300009,70
_181500673,60
aman_singh_ec181,60
_181300002,60
shivam_tiwari_c3,30
kapil_bansal_ec1,20
hardev_singh_cs1,20
amansinghchanda1,0
_181300072,0
saksham_pandey_1,0
